aeroporto,tipo.de.voo,cia.aerea,possui.deficiencia,facilidade.de.desembarque.no.meio.fio,opcoes.de.transporte.ate.o.aeroporto,processo.de.aquisicao.da.passagem,processo.de.inspecao.de.seguranca,estabelecimentos.de.alimentacao,localizacao.e.deslocamento,conforto.da.sala.de.embarque,disponibilidade.de.tomadas,internet.disponibilizada.pelo.aeroporto,sanitarios,limpeza.geral.do.aeroporto,satisfacao.geral,nacionalidade,genero,idade,escolaridade,renda.familiar,viajando.sozinho,motivo.da.viagem,quantidade.de.viagens.nos.ultimos.12.meses,ja.embarcou.desembarcou.antes.no.aeroporto
SBFZ,Internacional,Tap,Nenhuma,4,4,5,4,3,3,4,3,5,4,5,4,Brasileira,Masculino,18 a 25 anos,Ensino médio,Entre 2 e 4 sm,Sim,Outros,2 a 3,Não
SBGR,Doméstico,Latam,Nenhuma,5,4,4,5,5,5,3,4,4,4,3,4,Brasileira,Masculino,18 a 25 anos,Superior,Mais de 20 sm,Sim,Lazer,Mais de 11,Sim
SBGR,Internacional,Air Europa,Nenhuma,4,3,5,5,5,4,3,2,4,2,4,4,Brasileira,Masculino,36 a 45 anos,Superior,Entre 10 e 20 sm,Sim,Lazer,6 a 10,Sim
SBFZ,Internacional,Tap,Nenhuma,5,3,5,5,5,5,4,5,4,5,5,5,Brasileira,Feminino,36 a 45 anos,Superior,Entre 4 e 10 sm,Não,Outros,2 a 3,Sim
SBSV,Doméstico,Latam,Nenhuma,5,5,5,5,4,5,4,5,5,5,5,4,Brasileira,Feminino,26 a 35 anos,Doutorado,Entre 10 e 20 sm,Sim,Trabalho,2 a 3,Sim
SBRF,Doméstico,Azul,Nenhuma,2,4,5,4,4,3,3,2,3,4,4,3,Brasileira,Feminino,26 a 35 anos,Mestrado,Entre 4 e 10 sm,Sim,Lazer,2 a 3,Sim
SBMO,Doméstico,Gol,Nenhuma,5,5,5,5,5,5,5,5,5,5,5,5,Brasileira,Feminino,26 a 35 anos,Superior,Entre 10 e 20 sm,Não,Lazer,4 a 5,Não
SBVT,Doméstico,Azul,Nenhuma,5,5,5,4,5,4,5,5,5,5,5,5,Brasileira,Feminino,36 a 45 anos,Ensino médio,Entre 2 e 4 sm,Não,Outros,2 a 3,Não
SBKP,Doméstico,Azul,Nenhuma,5,5,5,5,3,5,5,5,4,5,5,5,Brasileira,Masculino,18 a 25 anos,Ensino médio,Prefiro não informar,Não,Lazer,2 a 3,Não
SBFZ,Doméstico,Azul,Nenhuma,4,4,4,4,3,4,4,3,5,5,5,4,Brasileira,Feminino,26 a 35 anos,Superior,Entre 2 e 4 sm,Não,Outros,2 a 3,Sim
SBMO,Doméstico,Latam,Nenhuma,5,4,4,4,2,4,3,4,4,5,5,3,Brasileira,Feminino,26 a 35 anos,Superior,Entre 4 e 10 sm,Não,Lazer,2 a 3,Não
SBGR,Doméstico,Latam,Nenhuma,4,4,4,4,4,3,4,3,3,2,4,4,Brasileira,Masculino,56 a 65 anos,Doutorado,Mais de 20 sm,Sim,Outros,2 a 3,Não
SBMO,Doméstico,Latam,Nenhuma,4,4,5,5,4,4,5,4,4,3,4,4,Brasileira,Masculino,56 a 65 anos,Superior,Entre 10 e 20 sm,Não,Lazer,6 a 10,Não
SBSG,Internacional,Tap,Nenhuma,4,2,5,3,2,5,3,1,5,5,5,2,Brasileira,Feminino,26 a 35 anos,Mestrado,Entre 4 e 10 sm,Sim,Outros,4 a 5,Sim
SBVT,Doméstico,Latam,Nenhuma,5,5,5,5,5,5,5,5,4,5,5,5,Brasileira,Masculino,26 a 35 anos,Superior,Até 1 salário mínimo,Sim,Lazer,1 (Primeira viagem),Não
SBCY,Doméstico,Latam,Nenhuma,5,4,5,4,4,5,4,4,5,3,5,5,Brasileira,Feminino,36 a 45 anos,Doutorado,Prefiro não informar,Sim,Lazer e Trabalho,2 a 3,Sim
SBCY,Doméstico,Latam,Nenhuma,4,4,3,4,3,4,4,4,3,4,4,5,Brasileira,Feminino,26 a 35 anos,Superior,Entre 2 e 4 sm,Não,Lazer,2 a 3,Sim
SBSV,Doméstico,Azul,Nenhuma,5,4,5,4,4,5,4,3,4,4,5,4,Brasileira,Masculino,26 a 35 anos,Superior,Entre 4 e 10 sm,Não,Lazer,1 (Primeira viagem),Sim
SBMO,Doméstico,Gol,Nenhuma,5,5,5,5,4,5,4,5,5,5,5,5,Brasileira,Feminino,26 a 35 anos,Superior,Entre 4 e 10 sm,Não,Lazer,4 a 5,Não
SBGL,Doméstico,Gol,Nenhuma,5,4,5,5,4,4,5,5,4,4,5,5,Brasileira,Feminino,56 a 65 anos,Superior,Entre 4 e 10 sm,Sim,Lazer,4 a 5,Sim
SBGO,Doméstico,Azul,Nenhuma,5,5,5,5,5,5,5,5,5,5,5,5,Brasileira,Masculino,46 a 55 anos,Superior,Entre 4 e 10 sm,Sim,Outros,4 a 5,Sim
SBSV,Doméstico,Azul,Nenhuma,5,3,5,5,3,4,3,3,4,2,4,3,Brasileira,Masculino,26 a 35 anos,Ensino médio,Entre 4 e 10 sm,Sim,Lazer,Mais de 11,Sim
SBSV,Doméstico,Latam,Nenhuma,5,5,4,4,3,5,3,5,5,5,5,4,Brasileira,Feminino,18 a 25 anos,Superior,Entre 4 e 10 sm,Sim,Lazer e Trabalho,4 a 5,Sim
SBRJ,Doméstico,Latam,Nenhuma,5,5,5,5,5,5,5,5,5,5,5,5,Brasileira,Feminino,46 a 55 anos,Superior,Entre 10 e 20 sm,Sim,Lazer,1 (Primeira viagem),Não
SBGL,Doméstico,Azul,Nenhuma,4,5,5,4,5,4,5,3,4,4,4,5,Brasileira,Feminino,36 a 45 anos,Superior,Entre 2 e 4 sm,Não,Lazer,2 a 3,Não
SBMO,Doméstico,Gol,Nenhuma,5,5,5,5,5,5,5,5,5,5,5,5,Brasileira,Feminino,26 a 35 anos,Ensino médio,Entre 1 e 2 sm,Não,Lazer,1 (Primeira viagem),Não
SBGO,Doméstico,Latam,Nenhuma,5,3,3,5,4,4,4,5,4,5,5,4,Brasileira,Masculino,18 a 25 anos,Superior,Entre 4 e 10 sm,Sim,Lazer,6 a 10,Sim
SBGL,Internacional,United Airlines,Nenhuma,4,3,4,5,5,3,4,4,5,3,5,4,Brasileira,Masculino,36 a 45 anos,Superior,Prefiro não informar,Sim,Lazer e Trabalho,1 (Primeira viagem),Não
SBVT,Doméstico,Azul,Nenhuma,5,1,4,4,3,5,3,4,3,5,5,5,Brasileira,Masculino,26 a 35 anos,Superior,Entre 4 e 10 sm,Sim,Lazer,2 a 3,Sim
SBKP,Doméstico,Azul,Nenhuma,5,5,5,4,3,5,4,1,1,4,4,4,Brasileira,Masculino,26 a 35 anos,Superior,Entre 2 e 4 sm,Não,Lazer,Mais de 11,Sim
SBGL,Internacional,Tap,Nenhuma,5,5,5,5,4,5,5,5,5,5,5,5,Estrangeira,Masculino,26 a 35 anos,Mestrado,Prefiro não informar,Sim,Lazer,1 (Primeira viagem),Não
SBGL,Internacional,Tap,Nenhuma,5,4,5,5,4,4,5,4,5,5,5,5,Brasileira,Masculino,26 a 35 anos,Superior,Entre 10 e 20 sm,Sim,Lazer,2 a 3,Não
SBGL,Doméstico,Latam,Nenhuma,5,5,5,5,5,4,4,5,5,4,5,5,Brasileira,Masculino,26 a 35 anos,Ensino médio,Mais de 20 sm,Sim,Lazer,4 a 5,Sim
SBSG,Internacional,Tap,Nenhuma,3,1,5,4,1,4,5,1,5,4,5,3,Brasileira,Feminino,46 a 55 anos,Superior,Prefiro não informar,Não,Lazer,Mais de 11,Sim
SBSG,Internacional,Tap,Nenhuma,4,1,5,5,4,5,4,2,3,5,3,4,Brasileira,Masculino,18 a 25 anos,Superior,Prefiro não informar,Não,Lazer,2 a 3,Sim
SBPA,Doméstico,Latam,Nenhuma,4,4,5,4,4,4,4,4,5,4,5,5,Brasileira,Feminino,36 a 45 anos,Superior,Entre 4 e 10 sm,Não,Trabalho,2 a 3,Sim
SBCY,Doméstico,Latam,Nenhuma,4,4,5,4,3,4,3,3,4,4,4,4,Brasileira,Masculino,36 a 45 anos,Superior,Entre 10 e 20 sm,Sim,Trabalho,Mais de 11,Sim
SBMO,Doméstico,Latam,Nenhuma,5,4,5,4,4,3,3,3,1,4,4,4,Brasileira,Masculino,26 a 35 anos,Ensino médio,Entre 10 e 20 sm,Não,Lazer,1 (Primeira viagem),Não
SBFL,Doméstico,Azul,Nenhuma,5,4,5,5,5,5,5,5,5,5,5,5,Brasileira,Masculino,26 a 35 anos,Superior,Prefiro não informar,Não,Lazer e Trabalho,2 a 3,Sim
SBFL,Doméstico,Gol,Nenhuma,5,3,5,5,5,5,4,5,5,5,5,4,Brasileira,Feminino,26 a 35 anos,Superior,Entre 4 e 10 sm,Não,Trabalho,2 a 3,Sim
SBPA,Doméstico,Gol,Nenhuma,4,3,5,5,3,5,4,4,5,4,4,4,Brasileira,Masculino,26 a 35 anos,Superior,Entre 2 e 4 sm,Sim,Lazer e Trabalho,4 a 5,Sim
SBFL,Doméstico,Azul,Nenhuma,4,4,5,4,3,5,5,5,5,5,5,4,Brasileira,Masculino,26 a 35 anos,Superior,Entre 10 e 20 sm,Não,Trabalho,1 (Primeira viagem),Não
SBRJ,Doméstico,Gol,Nenhuma,5,5,4,3,5,4,4,3,4,4,4,4,Brasileira,Feminino,26 a 35 anos,Superior,Prefiro não informar,Sim,Lazer,4 a 5,Sim
SBVT,Doméstico,Azul,Nenhuma,5,3,5,5,5,5,4,5,5,3,4,5,Brasileira,Feminino,26 a 35 anos,Ensino médio,Até 1 salário mínimo,Não,Lazer,2 a 3,Sim
SBPA,Doméstico,Latam,Nenhuma,4,4,4,4,4,5,5,3,5,3,4,4,Brasileira,Feminino,18 a 25 anos,Superior,Prefiro não informar,Sim,Lazer,1 (Primeira viagem),Não
SBCT,Doméstico,Latam,Nenhuma,5,5,5,5,4,4,4,5,4,4,4,5,Brasileira,Feminino,26 a 35 anos,Superior,Entre 2 e 4 sm,Sim,Trabalho,2 a 3,Sim
SBCF,Doméstico,Azul,Nenhuma,5,5,3,5,4,5,5,4,5,5,5,5,Brasileira,Masculino,36 a 45 anos,Ensino médio,Entre 4 e 10 sm,Sim,Lazer,2 a 3,Sim
SBGR,Doméstico,Gol,Nenhuma,4,4,3,4,3,4,3,2,3,4,4,4,Brasileira,Masculino,36 a 45 anos,Mestrado,Entre 10 e 20 sm,Sim,Lazer,1 (Primeira viagem),Não
SBCY,Doméstico,Latam,Nenhuma,4,3,4,4,3,3,4,4,3,3,3,4,Brasileira,Feminino,26 a 35 anos,Superior,Entre 10 e 20 sm,Sim,Trabalho,4 a 5,Sim
SBMO,Doméstico,Gol,Nenhuma,5,5,5,5,3,5,5,4,5,5,5,5,Brasileira,Feminino,18 a 25 anos,Superior,Entre 2 e 4 sm,Sim,Lazer,2 a 3,Não
SBCF,Internacional,Tap,Nenhuma,5,5,5,5,5,5,5,5,5,5,5,5,Brasileira,Masculino,26 a 35 anos,Ensino fundamental,Prefiro não informar,Sim,Trabalho,2 a 3,Sim
SBFL,Doméstico,Latam,Nenhuma,5,4,4,5,5,5,4,3,4,5,5,5,Brasileira,Feminino,18 a 25 anos,Superior,Entre 4 e 10 sm,Sim,Lazer,2 a 3,Sim
SBCY,Doméstico,Latam,Nenhuma,4,4,4,5,3,5,3,5,5,4,4,5,Brasileira,Masculino,36 a 45 anos,Superior,Prefiro não informar,Sim,Outros,1 (Primeira viagem),Sim
SBGL,Internacional,Sky Airlines,Nenhuma,5,5,5,5,4,5,5,4,3,5,5,4,Brasileira,Masculino,26 a 35 anos,Mestrado,Prefiro não informar,Não,Lazer,2 a 3,Não
SBKP,Doméstico,Gol,Nenhuma,5,3,4,5,5,5,4,5,4,5,5,5,Brasileira,Masculino,18 a 25 anos,Superior,Entre 10 e 20 sm,Não,Lazer,1 (Primeira viagem),Não
SBGL,Doméstico,Latam,Nenhuma,5,4,5,5,5,5,4,3,4,5,5,5,Brasileira,Masculino,26 a 35 anos,Superior,Entre 1 e 2 sm,Não,Lazer,2 a 3,Sim
SBMO,Doméstico,Latam,Nenhuma,5,4,5,5,3,5,5,5,5,5,5,4,Brasileira,Feminino,26 a 35 anos,Superior,Entre 2 e 4 sm,Sim,Outros,4 a 5,Sim
SBRF,Doméstico,Gol,Nenhuma,5,2,5,4,4,5,3,3,5,5,5,4,Brasileira,Masculino,26 a 35 anos,Mestrado,Entre 4 e 10 sm,Sim,Lazer,6 a 10,Sim
SBGL,Internacional,Sky Airlines,Nenhuma,4,5,5,5,3,5,5,5,5,4,5,5,Brasileira,Masculino,46 a 55 anos,Superior,Mais de 20 sm,Sim,Lazer,6 a 10,Sim
SBKP,Doméstico,Azul,Nenhuma,4,5,4,5,3,3,5,4,3,5,5,4,Brasileira,Masculino,26 a 35 anos,Superior,Prefiro não informar,Sim,Lazer,6 a 10,Não
SBBR,Doméstico,Gol,Nenhuma,5,5,4,5,5,5,5,3,5,5,5,5,Brasileira,Masculino,46 a 55 anos,Superior,Prefiro não informar,Sim,Lazer,2 a 3,Sim
SBEG,Doméstico,Latam,Nenhuma,5,5,5,5,5,5,5,5,5,5,5,5,Brasileira,Masculino,26 a 35 anos,Ensino médio,Até 1 salário mínimo,Sim,Trabalho,2 a 3,Não
SBGR,Doméstico,Latam,Nenhuma,3,1,1,5,5,5,1,1,4,5,5,3,Brasileira,Feminino,36 a 45 anos,Superior,Prefiro não informar,Sim,Trabalho,Mais de 11,Sim
SBGL,Doméstico,Gol,Nenhuma,5,4,4,4,5,4,5,2,5,4,5,4,Brasileira,Masculino,26 a 35 anos,Ensino médio,Entre 1 e 2 sm,Não,Outros,6 a 10,Sim
SBMO,Doméstico,Latam,Nenhuma,4,5,4,5,5,5,5,5,5,4,4,4,Brasileira,Feminino,18 a 25 anos,Ensino médio,Entre 1 e 2 sm,Não,Lazer,2 a 3,Não
SBFZ,Doméstico,Latam,Nenhuma,5,5,5,5,4,5,5,3,5,5,5,5,Brasileira,Masculino,26 a 35 anos,Superior,Entre 4 e 10 sm,Não,Lazer,6 a 10,Sim
SBCY,Doméstico,Latam,Nenhuma,5,4,4,5,4,5,4,5,5,4,4,5,Brasileira,Masculino,26 a 35 anos,Superior,Entre 10 e 20 sm,Sim,Outros,6 a 10,Sim
SBPA,Doméstico,Latam,Nenhuma,5,5,4,5,4,3,5,5,5,4,4,5,Brasileira,Masculino,18 a 25 anos,Superior,Entre 2 e 4 sm,Sim,Lazer,Mais de 11,Sim
SBGL,Internacional,Tap,Nenhuma,4,4,4,5,4,5,5,2,5,5,5,5,Brasileira,Feminino,36 a 45 anos,Superior,Prefiro não informar,Sim,Lazer,2 a 3,Sim
SBFZ,Doméstico,Latam,Nenhuma,5,4,4,4,4,4,3,4,4,2,4,4,Brasileira,Feminino,36 a 45 anos,Superior,Entre 2 e 4 sm,Não,Lazer,1 (Primeira viagem),Não
SBVT,Doméstico,Gol,Nenhuma,5,4,5,5,4,4,5,5,5,4,5,5,Brasileira,Masculino,Mais de 65 anos,Ensino médio,Entre 4 e 10 sm,Sim,Lazer,4 a 5,Sim
SBVT,Doméstico,Gol,Nenhuma,4,4,4,5,4,4,4,5,4,5,5,5,Brasileira,Masculino,36 a 45 anos,Superior,Prefiro não informar,Sim,Trabalho,6 a 10,Sim
SBGR,Internacional,Air Europa,Nenhuma,5,4,4,3,5,3,3,3,5,5,5,4,Brasileira,Masculino,18 a 25 anos,Ensino médio,Entre 2 e 4 sm,Sim,Lazer,6 a 10,Sim
SBGO,Doméstico,Latam,Nenhuma,5,5,5,5,4,5,5,4,5,3,5,5,Brasileira,Masculino,36 a 45 anos,Superior,Entre 10 e 20 sm,Sim,Trabalho,Mais de 11,Sim
SBBE,Doméstico,Gol,Nenhuma,3,5,4,5,5,5,1,5,3,5,5,3,Brasileira,Feminino,18 a 25 anos,Superior,Entre 1 e 2 sm,Sim,Lazer,2 a 3,Não
SBFZ,Doméstico,Latam,Nenhuma,5,5,5,4,5,4,5,5,4,5,5,4,Brasileira,Feminino,18 a 25 anos,Ensino médio,Entre 1 e 2 sm,Sim,Lazer,1 (Primeira viagem),Não
SBPA,Doméstico,Azul,Nenhuma,4,4,4,4,4,5,5,5,5,4,5,5,Brasileira,Feminino,46 a 55 anos,Mestrado,Entre 4 e 10 sm,Sim,Lazer,2 a 3,Não
SBVT,Doméstico,Latam,Nenhuma,4,5,5,5,5,5,5,4,5,5,5,5,Brasileira,Masculino,18 a 25 anos,Ensino médio,Entre 4 e 10 sm,Não,Trabalho,6 a 10,Não
SBRF,Doméstico,Latam,Nenhuma,2,4,5,4,3,5,3,3,5,5,5,4,Brasileira,Masculino,26 a 35 anos,Superior,Entre 10 e 20 sm,Sim,Trabalho,2 a 3,Não
SBBE,Doméstico,Azul,Nenhuma,5,5,5,5,5,5,5,4,5,4,5,5,Brasileira,Masculino,26 a 35 anos,Ensino médio,Entre 1 e 2 sm,Sim,Lazer,2 a 3,Sim
SBRJ,Doméstico,Azul,Nenhuma,5,4,5,4,4,4,4,5,4,3,4,4,Brasileira,Masculino,26 a 35 anos,Superior,Prefiro não informar,Não,Lazer,4 a 5,Sim
SBRF,Doméstico,Azul,Nenhuma,5,5,4,5,4,5,3,5,4,4,4,4,Brasileira,Masculino,36 a 45 anos,Superior,Mais de 20 sm,Sim,Outros,4 a 5,Sim
SBMO,Doméstico,Latam,Nenhuma,5,3,5,5,3,4,5,5,4,4,5,4,Brasileira,Masculino,18 a 25 anos,Superior,Entre 4 e 10 sm,Sim,Lazer,2 a 3,Não
SBFL,Doméstico,Azul,Nenhuma,4,1,5,5,4,5,5,3,4,5,5,4,Brasileira,Masculino,46 a 55 anos,Mestrado,Prefiro não informar,Sim,Trabalho,Mais de 11,Sim
SBFZ,Doméstico,Gol,Nenhuma,4,3,4,3,3,4,3,3,4,3,5,4,Brasileira,Feminino,36 a 45 anos,Superior,Entre 1 e 2 sm,Sim,Outros,4 a 5,Sim
SBGR,Internacional,Air Europa,Nenhuma,5,5,5,5,5,5,4,3,5,5,5,5,Brasileira,Masculino,26 a 35 anos,Superior,Entre 4 e 10 sm,Sim,Lazer,1 (Primeira viagem),Não
SBGO,Doméstico,Azul,Nenhuma,5,5,5,5,5,5,5,3,3,5,5,5,Brasileira,Masculino,26 a 35 anos,Superior,Entre 4 e 10 sm,Sim,Lazer,4 a 5,Não
SBPA,Doméstico,Azul,Nenhuma,5,5,5,5,5,5,5,5,5,5,5,5,Brasileira,Feminino,26 a 35 anos,Superior,Entre 10 e 20 sm,Sim,Lazer,4 a 5,Sim
SBVT,Doméstico,Azul,Nenhuma,5,4,3,5,2,5,5,5,5,5,5,4,Brasileira,Feminino,36 a 45 anos,Ensino médio,Entre 1 e 2 sm,Não,Lazer,2 a 3,Sim
SBRJ,Doméstico,Azul,Nenhuma,5,5,5,4,3,5,4,4,4,3,4,4,Brasileira,Feminino,26 a 35 anos,Superior,Entre 4 e 10 sm,Sim,Lazer,2 a 3,Não
SBPA,Doméstico,Latam,Nenhuma,5,4,5,5,5,5,5,4,5,5,5,5,Brasileira,Feminino,18 a 25 anos,Superior,Até 1 salário mínimo,Não,Lazer,2 a 3,Sim
SBPA,Doméstico,Gol,Nenhuma,4,5,4,5,5,5,4,5,5,2,3,4,Brasileira,Masculino,36 a 45 anos,Superior,Entre 10 e 20 sm,Sim,Trabalho,Mais de 11,Sim
SBPA,Doméstico,Gol,Nenhuma,5,4,5,5,4,5,4,4,5,4,5,5,Brasileira,Masculino,26 a 35 anos,Superior,Entre 4 e 10 sm,Sim,Trabalho,2 a 3,Não
SBPA,Doméstico,Gol,Nenhuma,5,3,5,5,5,4,4,5,4,4,4,5,Brasileira,Masculino,26 a 35 anos,Superior,Entre 4 e 10 sm,Sim,Lazer,1 (Primeira viagem),Não
SBGR,Doméstico,Latam,Nenhuma,5,5,5,5,5,5,5,3,4,5,4,5,Brasileira,Masculino,26 a 35 anos,Ensino médio,Entre 2 e 4 sm,Sim,Lazer,1 (Primeira viagem),Não
SBMO,Doméstico,Gol,Nenhuma,5,5,5,5,5,5,5,4,5,5,5,5,Brasileira,Feminino,36 a 45 anos,Ensino fundamental,Entre 1 e 2 sm,Não,Lazer,1 (Primeira viagem),Não
SBGL,Internacional,United Airlines,Nenhuma,5,5,5,5,4,4,4,5,5,4,4,5,Brasileira,Feminino,26 a 35 anos,Mestrado,Prefiro não informar,Não,Lazer,6 a 10,Sim
SBRF,Doméstico,Latam,Nenhuma,4,4,4,4,4,4,3,2,4,3,3,4,Brasileira,Masculino,36 a 45 anos,Superior,Entre 10 e 20 sm,Sim,Trabalho,Mais de 11,Sim
SBFL,Doméstico,Latam,Nenhuma,5,3,5,5,5,5,5,5,5,5,5,5,Brasileira,Feminino,Mais de 65 anos,Superior,Prefiro não informar,Sim,Outros,2 a 3,Sim
SBFL,Doméstico,Latam,Nenhuma,5,5,5,5,5,5,5,5,5,5,5,5,Brasileira,Masculino,36 a 45 anos,Ensino médio,Prefiro não informar,Sim,Outros,2 a 3,Sim
SBGO,Doméstico,Latam,Nenhuma,5,4,5,5,4,5,5,5,4,5,5,5,Brasileira,Masculino,26 a 35 anos,Ensino médio,Entre 4 e 10 sm,Não,Outros,2 a 3,Não
SBGO,Doméstico,Gol,Deficiência Física / Motora,4,5,5,4,4,5,4,4,5,5,5,5,Brasileira,Feminino,46 a 55 anos,Superior,Entre 10 e 20 sm,Sim,Lazer,4 a 5,Não
SBMO,Doméstico,Latam,Nenhuma,5,3,5,5,5,5,5,2,5,5,5,5,Brasileira,Masculino,26 a 35 anos,Ensino médio,Entre 4 e 10 sm,Não,Lazer,2 a 3,Não
SBMO,Doméstico,Latam,Nenhuma,5,5,5,5,3,5,3,4,5,5,5,5,Brasileira,Masculino,26 a 35 anos,Superior,Entre 4 e 10 sm,Não,Lazer,1 (Primeira viagem),Não
SBFZ,Internacional,Tap,Nenhuma,5,4,4,4,4,5,5,4,5,4,3,5,Brasileira,Masculino,18 a 25 anos,Ensino médio,Entre 2 e 4 sm,Sim,Trabalho,4 a 5,Sim
SBFZ,Doméstico,Latam,Nenhuma,4,4,4,5,5,4,4,5,5,4,5,5,Brasileira,Masculino,46 a 55 anos,Ensino médio,Entre 2 e 4 sm,Sim,Lazer,2 a 3,Não
SBRF,Doméstico,Gol,Nenhuma,4,4,3,5,5,5,4,4,4,5,5,5,Brasileira,Feminino,26 a 35 anos,Doutorado,Entre 1 e 2 sm,Sim,Trabalho,4 a 5,Sim
SBSG,Internacional,Tap,Nenhuma,5,5,5,5,5,5,5,3,4,5,5,5,Brasileira,Masculino,26 a 35 anos,Superior,Prefiro não informar,Não,Lazer,1 (Primeira viagem),Não
SBSG,Internacional,Tap,Nenhuma,5,5,5,5,5,5,5,3,5,5,5,5,Brasileira,Feminino,26 a 35 anos,Ensino médio,Prefiro não informar,Não,Lazer,1 (Primeira viagem),Não
SBRF,Internacional,Tap,Nenhuma,5,5,5,5,5,5,5,5,5,5,5,5,Brasileira,Feminino,36 a 45 anos,Ensino médio,Entre 1 e 2 sm,Sim,Lazer,2 a 3,Sim
SBFZ,Doméstico,Gol,Nenhuma,5,5,5,5,4,5,5,5,5,5,5,5,Brasileira,Masculino,26 a 35 anos,Ensino médio,Entre 4 e 10 sm,Não,Lazer,2 a 3,Sim
SBVT,Doméstico,Latam,Nenhuma,5,4,4,5,5,5,5,5,5,5,5,5,Brasileira,Feminino,18 a 25 anos,Superior,Entre 10 e 20 sm,Não,Lazer,1 (Primeira viagem),Não
SBGR,Doméstico,Latam,Nenhuma,4,2,2,3,4,4,2,2,4,4,4,3,Brasileira,Feminino,26 a 35 anos,Superior,Entre 4 e 10 sm,Sim,Trabalho,6 a 10,Sim
SBPA,Doméstico,Latam,Nenhuma,5,5,5,4,4,5,4,5,5,5,5,5,Brasileira,Feminino,36 a 45 anos,Superior,Entre 10 e 20 sm,Sim,Lazer,6 a 10,Sim
SBCT,Doméstico,Azul,Nenhuma,5,2,4,4,3,4,4,4,4,4,4,4,Brasileira,Masculino,46 a 55 anos,Doutorado,Mais de 20 sm,Sim,Trabalho,Mais de 11,Sim
SBCT,Internacional,Aerolíneas Argentinas,Nenhuma,5,5,5,5,2,3,4,5,5,3,4,4,Brasileira,Feminino,26 a 35 anos,Superior,Entre 10 e 20 sm,Não,Lazer,1 (Primeira viagem),Não
SBSG,Internacional,Tap,Nenhuma,5,4,4,5,3,5,5,3,5,5,5,4,Brasileira,Masculino,26 a 35 anos,Superior,Prefiro não informar,Não,Lazer,1 (Primeira viagem),Não
SBCY,Doméstico,Gol,Nenhuma,5,4,4,4,5,5,5,3,4,4,4,4,Brasileira,Masculino,26 a 35 anos,Ensino médio,Entre 4 e 10 sm,Sim,Trabalho,4 a 5,Sim
SBGR,Doméstico,Latam,Nenhuma,5,5,5,5,5,5,1,1,5,5,5,1,Brasileira,Masculino,46 a 55 anos,Superior,Prefiro não informar,Sim,Trabalho,2 a 3,Sim
SBMO,Doméstico,Latam,Nenhuma,5,4,4,5,3,5,4,4,5,4,4,4,Brasileira,Masculino,18 a 25 anos,Superior,Entre 2 e 4 sm,Sim,Lazer,4 a 5,Sim
SBKP,Doméstico,Gol,Nenhuma,5,3,4,5,4,5,4,5,5,4,4,4,Brasileira,Feminino,18 a 25 anos,Superior,Entre 1 e 2 sm,Sim,Outros,4 a 5,Sim
SBBE,Doméstico,Latam,Nenhuma,3,5,3,5,3,5,3,3,3,2,3,3,Brasileira,Masculino,36 a 45 anos,Superior,Prefiro não informar,Sim,Trabalho,2 a 3,Sim
SBMO,Doméstico,Gol,Nenhuma,5,5,5,5,3,5,3,5,2,5,5,4,Brasileira,Feminino,26 a 35 anos,Superior,Entre 2 e 4 sm,Não,Lazer,2 a 3,Não
SBRF,Doméstico,Latam,Nenhuma,5,5,5,5,5,4,5,5,5,5,5,5,Brasileira,Feminino,26 a 35 anos,Superior,Mais de 20 sm,Sim,Trabalho,6 a 10,Sim
SBSG,Doméstico,Gol,Nenhuma,4,1,4,5,5,4,5,4,5,5,3,3,Brasileira,Masculino,26 a 35 anos,Superior,Prefiro não informar,Sim,Lazer,4 a 5,Não
SBSG,Doméstico,Gol,Nenhuma,5,4,5,5,5,5,3,3,1,5,4,4,Brasileira,Masculino,36 a 45 anos,Superior,Prefiro não informar,Sim,Lazer,6 a 10,Sim
SBSG,Doméstico,Gol,Nenhuma,5,5,5,5,5,5,5,3,5,5,5,5,Brasileira,Masculino,26 a 35 anos,Superior,Prefiro não informar,Não,Lazer,1 (Primeira viagem),Não
SBGL,Doméstico,Gol,Nenhuma,5,5,5,5,4,5,5,1,4,5,3,5,Brasileira,Masculino,36 a 45 anos,Superior,Prefiro não informar,Sim,Trabalho,1 (Primeira viagem),Não
SBGO,Doméstico,Azul,Nenhuma,5,5,5,4,4,5,5,3,5,5,4,5,Brasileira,Masculino,26 a 35 anos,Mestrado,Entre 10 e 20 sm,Sim,Trabalho,2 a 3,Não
SBPA,Doméstico,Azul,Nenhuma,5,5,5,4,5,5,2,5,5,5,5,4,Brasileira,Feminino,18 a 25 anos,Ensino médio,Prefiro não informar,Não,Lazer,2 a 3,Sim
SBSP,Doméstico,Azul,Nenhuma,4,4,5,4,3,4,4,3,3,4,4,4,Brasileira,Masculino,26 a 35 anos,Superior,Entre 4 e 10 sm,Sim,Trabalho,2 a 3,Sim
SBVT,Doméstico,Azul,Nenhuma,5,5,5,5,4,5,5,5,5,5,5,5,Estrangeira,Masculino,36 a 45 anos,Ensino fundamental,Prefiro não informar,Sim,Trabalho,2 a 3,Não
SBCF,Internacional,Tap,Nenhuma,5,5,5,5,4,5,5,1,3,5,5,4,Brasileira,Masculino,36 a 45 anos,Superior,Entre 2 e 4 sm,Sim,Lazer,1 (Primeira viagem),Não
